City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Monte Redondo,PT,39.8993,-8.8317,49.98,87,0,2.3
94,Bethel,US,41.3712,-73.414,22.05,68,0,0.0
95,Severo-Kurilsk,RU,50.6789,156.125,29.23,82,98,11.16
96,Mar Del Plata,AR,-38.0023,-57.5575,63.88,64,100,20.0
97,Shingu,JP,33.7333,135.9833,50.99,31,4,5.17
98,Athens,GR,37.9795,23.7162,48.2,76,20,1.99
99,Rio Grande,BR,-32.035,-52.0986,68.95,74,0,16.28
100,Ishigaki,JP,24.3448,124.1572,62.73,59,75,19.57
101,Gat,IL,31.61,34.7642,47.39,100,98,5.77
102,Alice Springs,AU,-23.7,133.8833,76.55,94,75,6.91
103,Busselton,AU,-33.65,115.3333,78.08,30,97,16.64
104,Thompson,CA,55.7435,-97.8558,-3.84,77,20,2.3
105,Mamakan,RU,57.8161,114.0028,-12.55,95,100,0.89
106,Bambanglipuro,ID,-7.95,110.2833,75.6,68,82,9.24
107,Goderich,CA,43.7501,-81.7165,23.92,73,96,8.05
108,Saint George,US,37.1041,-113.5841,45.25,34,0,1.99
109,Saint-Philippe,RE,-21.3585,55.7679,82.11,83,83,12.86
110,Ahipara,NZ,-35.1667,173.1667,74.12,65,100,14.12
111,Waipawa,NZ,-41.4122,175.5153,66.31,67,14,10.09
112,Bandarbeyla,SO,9.4942,50.8122,76.96,76,85,17.18
113,Hambantota,LK,6.1241,81.1185,80.94,89,20,4.61
114,Dapaong,TG,10.8639,0.205,67.77,15,62,7.4
115,Sao Filipe,CV,14.8961,-24.4956,71.6,73,100,5.59
116,New Norfolk,AU,-42.7826,147.0587,85.91,30,0,3.0
117,Nelson Bay,AU,-32.7167,152.15,83.77,68,47,1.99
118,Roma,US,43.2128,-75.4557,10.94,76,100,0.0
119,Husavik,IS,66.0449,-17.3389,22.91,64,92,19.91
120,Hovd,MN,48.0056,91.6419,-7.11,84,24,3.33
121,Lumby,CA,50.2498,-118.969,32.04,80,100,2.3
122,Requena,ES,39.4883,-1.1004,45.5,31,2,6.87
123,Camocim,BR,-2.9022,-40.8411,75.76,90,99,7.96
124,Isangel,VU,-19.55,169.2667,86.11,84,75,4.61
125,Zandvoort,NL,52.3749,4.5341,45.99,75,75,28.77
126,Galesong,ID,-5.3166,119.3661,87.82,73,99,12.46
127,Chabahar,IR,25.2919,60.643,72.52,59,0,13.2
128,Tual,ID,-5.6667,132.75,83.88,78,100,21.18
129,Terra Santa,BR,-2.1042,-56.4869,72.59,96,84,2.73
